Date/Time,Latitude,Longitude,Temperature,Humidity,Pressure,Compass,MagX,MagY,MagZ,Pitch,Roll,Yaw,AccelX,AccelY,AccelZ,R,G,B,C,Motion
2022-01-31 12:12:03.024742,-7.481,165.589,32.7,31.3,1015.1,14.5,7.5,-1.9,2.9,360.0,360.0,15.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:12:08.265259,-7.747,165.781,32.6,29.6,1015.1,14.6,15.4,-4.7,6.0,360.0,360.0,15.0,0.0,0.0,0.0,24,25,21,73,1
2022-01-31 12:12:13.391075,-8.006,165.968,32.7,31.6,1015.1,14.7,18.6,-5.7,7.1,360.0,360.0,15.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:12:18.515332,-8.266,166.156,32.7,31.7,1015.1,14.8,20.1,-6.4,7.5,360.0,360.0,15.0,0.0,0.0,0.0,24,25,21,74,1
2022-01-31 12:12:23.639694,-8.525,166.345,32.7,31.7,1015.1,14.9,20.6,-6.7,7.3,360.0,360.0,15.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:12:28.760772,-8.784,166.533,32.7,31.8,1015.1,15.0,20.8,-6.7,7.0,360.0,360.0,15.0,0.0,0.0,-0.0,23,24,21,73,1
2022-01-31 12:12:33.869957,-9.043,166.721,32.6,31.9,1015.1,15.1,20.7,-6.8,6.4,360.0,360.0,15.0,0.0,0.0,0.0,24,25,21,74,1
2022-01-31 12:12:38.990537,-9.301,166.91,32.8,31.5,1015.1,15.2,20.8,-6.7,6.2,360.0,360.0,15.0,0.0,0.0,0.0,24,25,21,73,1
2022-01-31 12:12:44.111070,-9.56,167.1,32.8,31.6,1015.1,15.3,20.8,-6.5,6.1,360.0,360.0,15.0,0.0,0.0,-0.0,23,24,21,73,1
2022-01-31 12:12:49.235930,-9.819,167.289,32.7,31.6,1015.1,15.4,20.6,-6.8,6.3,360.0,360.0,15.0,0.0,0.0,-0.0,24,25,21,75,1
2022-01-31 12:12:54.348812,-10.077,167.479,32.7,31.6,1015.1,15.5,20.6,-6.3,5.6,360.0,360.0,16.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:12:59.461078,-10.335,167.669,32.7,31.7,1015.1,15.6,20.6,-6.7,5.9,360.0,360.0,16.0,0.0,0.0,-0.0,23,25,21,74,1
2022-01-31 12:13:04.571072,-10.592,167.859,32.7,31.7,1015.1,15.7,20.6,-6.8,5.9,360.0,360.0,16.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:13:09.691118,-10.85,168.05,32.8,31.6,1015.1,15.8,20.7,-7.2,5.0,360.0,360.0,16.0,0.0,0.0,-0.1,24,25,21,74,1
2022-01-31 12:13:14.801098,-11.107,168.241,32.8,31.6,1015.1,16.0,20.5,-7.8,4.5,360.0,360.0,16.0,0.0,0.0,0.1,23,24,21,73,1
2022-01-31 12:13:19.919298,-11.365,168.433,32.7,31.6,1015.1,16.1,20.6,-7.5,4.5,360.0,360.0,16.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:13:25.030577,-11.622,168.624,32.8,31.4,1015.1,16.3,20.5,-7.0,4.2,360.0,360.0,16.0,0.0,0.0,0.0,23,25,21,74,1
2022-01-31 12:13:30.141082,-11.879,168.816,32.7,31.9,1015.1,16.4,20.5,-7.2,4.0,360.0,360.0,16.0,0.0,0.0,-0.1,23,25,21,73,1
2022-01-31 12:13:35.259860,-12.136,169.009,32.6,31.5,1015.0,16.5,20.7,-7.3,3.5,360.0,360.0,17.0,0.0,0.0,-0.0,23,24,21,73,1
2022-01-31 12:13:40.378630,-12.393,169.202,32.7,31.5,1015.0,16.6,20.5,-7.5,3.3,360.0,360.0,17.0,0.0,0.0,0.0,23,24,21,73,1
2022-01-31 12:13:45.489383,-12.649,169.396,32.7,31.6,1015.0,16.8,20.3,-7.6,3.4,360.0,360.0,17.0,0.0,0.0,-0.0,24,25,21,74,1
2022-01-31 12:13:50.599971,-12.905,169.589,32.8,31.8,1015.0,16.9,20.4,-7.9,2.9,360.0,360.0,17.0,0.0,0.0,0.0,24,25,21,74,1
2022-01-31 12:13:55.711080,-13.161,169.783,32.9,31.8,1015.0,17.1,20.4,-7.9,3.0,360.0,360.0,17.0,0.0,0.0,0.1,24,25,21,74,1
