Data's start,Time,Latitude,Longitude,Pitch,Roll,Yaw,Acceleration(x axis),Acceleration(y axis),Acceleration(z axis),North,Compass(x axis),Compass(y axis),Compass(z axis),Temperature,Humidity,Pressure,Movement,R(photo),G(photo),B(photo),R(light),G(light),Blue(light),Clear
[I 220413 10:19:05 main:80] 0,10:19:05,-51.799,-149.051,330.39,67.443,22.034,0.021,0.031,0.017,22.082,21.934,-9.362,6.198,34.76,29.236,1006.73,False,0.0,0.904,0.0,0,0,0,1
[I 220413 10:19:08 main:80] 0,10:19:08,-51.798,-148.714,330.371,67.332,22.104,0.019,0.031,0.015,22.12,30.877,-12.87,8.624,34.458,29.255,1006.729,False,0.0,0.904,0.0,2,2,1,6
[I 220413 10:19:11 main:80] 0,10:19:11,-51.797,-148.387,330.371,67.332,22.133,0.021,0.03,0.013,22.123,34.241,-14.587,8.829,34.636,29.187,1006.729,False,0.0,0.92,0.0,2,2,1,6
[I 220413 10:19:15 main:80] 0,10:19:15,-51.795,-148.058,330.371,67.332,22.107,0.019,0.032,0.013,22.101,35.348,-15.085,9.412,34.582,28.793,1006.71,False,0.0,0.928,0.0,2,2,1,6
[I 220413 10:19:18 main:80] 0,10:19:18,-51.791,-147.728,330.371,67.332,22.093,0.02,0.029,0.013,22.077,36.029,-15.187,9.321,34.831,29.132,1006.73,False,0.0,0.926,0.0,2,2,1,6
[I 220413 10:19:21 main:80] 0,10:19:21,-51.787,-147.404,330.371,67.332,22.06,0.02,0.03,0.015,22.049,36.495,-15.238,9.668,34.547,29.016,1006.736,False,0.0,0.921,0.0,2,2,1,6
[I 220413 10:19:24 main:80] 0,10:19:24,-51.781,-147.077,330.371,67.332,22.044,0.021,0.03,0.015,22.041,36.408,-15.418,9.668,35.436,29.025,1006.7,False,0.0,0.925,0.0,2,2,1,6
[I 220413 10:19:28 main:80] 0,10:19:28,-51.775,-146.751,330.371,67.332,22.034,0.02,0.031,0.015,22.013,36.106,-15.424,9.085,34.778,28.918,1006.701,False,0.0,0.922,0.0,2,2,1,6
[I 220413 10:19:31 main:80] 0,10:19:31,-51.768,-146.419,330.371,67.332,21.989,0.02,0.03,0.015,21.976,35.938,-15.402,9.402,34.476,30.258,1006.71,False,0.0,0.935,0.0,2,2,1,6
[I 220413 10:19:34 main:80] 0,10:19:34,-51.759,-146.091,330.371,67.332,21.971,0.02,0.032,0.013,21.964,36.023,-15.526,9.355,34.867,29.016,1006.72,False,0.0,0.927,0.0,2,2,1,6
[I 220413 10:19:38 main:80] 0,10:19:38,-51.75,-145.762,330.371,67.332,21.957,0.02,0.031,0.013,21.955,35.937,-15.193,9.546,35.062,29.096,1006.723,False,0.0,0.923,0.0,2,2,1,6
[I 220413 10:19:41 main:80] 0,10:19:41,-51.739,-145.431,330.371,67.332,21.962,0.02,0.031,0.011,21.99,35.639,-15.079,9.926,34.902,29.279,1006.698,False,0.0,0.925,0.0,2,2,1,6
[I 220413 10:19:44 main:80] 0,10:19:44,-51.728,-145.102,330.371,67.332,22.009,0.02,0.031,0.014,21.999,35.963,-15.467,9.415,34.529,29.096,1006.717,False,0.0,0.924,0.0,2,2,1,6
[I 220413 10:19:48 main:80] 0,10:19:48,-51.715,-144.775,330.371,67.332,21.999,0.021,0.031,0.015,22.013,35.964,-15.325,9.819,34.796,29.068,1006.708,True,0.0,0.926,0.0,2,2,1,6
[I 220413 10:19:51 main:80] 0,10:19:51,-51.702,-144.447,330.371,67.332,22.028,0.019,0.031,0.013,22.04,35.95,-15.301,9.787,34.547,29.059,1006.692,False,0.0,0.92,0.0,2,2,1,6
[I 220413 10:19:54 main:80] 0,10:19:54,-51.688,-144.118,330.371,67.332,22.049,0.02,0.032,0.014,22.054,35.876,-15.133,9.718,34.6,29.261,1006.683,False,0.0,0.931,0.0,2,2,1,6
[I 220413 10:19:57 main:80] 0,10:19:57,-51.672,-143.793,330.371,67.332,22.062,0.02,0.031,0.015,22.064,35.355,-15.351,9.01,34.814,29.218,1006.709,False,0.0,0.922,0.0,2,2,1,6
[I 220413 10:20:01 main:80] 0,10:20:01,-51.656,-143.466,330.371,67.332,22.042,0.021,0.031,0.012,22.009,35.171,-15.247,8.709,34.849,29.402,1006.719,False,0.0,0.915,0.0,2,2,1,6
[I 220413 10:20:04 main:80] 0,10:20:04,-51.639,-143.139,330.371,67.332,21.983,0.021,0.031,0.013,21.979,35.422,-15.362,9.322,34.885,29.267,1006.71,False,0.0,0.928,0.0,2,2,1,6
[I 220413 10:20:07 main:80] 0,10:20:07,-51.62,-142.81,330.371,67.332,21.986,0.02,0.031,0.013,22.016,35.146,-15.416,9.711,35.347,29.236,1006.698,False,0.0,0.929,0.0,2,2,1,6
[I 220413 10:20:11 main:80] 0,10:20:11,-51.601,-142.483,330.371,67.332,22.037,0.02,0.033,0.014,22.056,35.335,-15.012,9.789,34.778,30.127,1006.71,False,0.0,0.925,0.0,2,2,1,6
[I 220413 10:20:14 main:80] 0,10:20:14,-51.58,-142.155,330.371,67.332,22.075,0.02,0.031,0.013,22.084,35.332,-15.006,9.237,34.956,28.912,1006.713,False,0.0,0.93,0.0,2,2,1,6
[I 220413 10:20:17 main:80] 0,10:20:17,-51.559,-141.83,330.371,67.332,22.069,0.02,0.031,0.013,22.055,35.334,-14.965,9.361,34.814,29.022,1006.719,True,0.0,0.925,0.0,2,2,1,6
[I 220413 10:20:21 main:80] 0,10:20:21,-51.537,-141.501,330.371,67.332,22.043,0.019,0.032,0.015,22.027,35.068,-15.025,9.035,35.062,29.074,1006.748,False,0.0,0.904,0.0,2,2,1,6
[I 220413 10:20:24 main:80] 0,10:20:24,-51.513,-141.177,330.371,67.332,22.006,0.02,0.03,0.013,21.969,34.989,-15.098,8.562,34.885,29.233,1006.716,False,0.0,0.913,0.0,2,2,1,6
[I 220413 10:20:27 main:80] 0,10:20:27,-51.489,-140.851,330.371,67.332,21.933,0.02,0.03,0.014,21.896,34.852,-15.095,8.389,34.582,29.243,1006.735,False,0.0,0.924,0.0,2,2,1,6
[I 220413 10:20:31 main:80] 0,10:20:31,-51.464,-140.523,330.371,67.332,21.854,0.02,0.031,0.013,21.836,34.647,-15.227,9.024,34.831,29.197,1006.748,False,0.0,0.906,0.0,2,2,1,6
[I 220413 10:20:34 main:80] 0,10:20:34,-51.437,-140.197,330.371,67.332,21.835,0.019,0.03,0.015,21.838,34.651,-15.189,9.044,34.938,28.701,1006.683,False,0.0,0.922,0.0,2,2,1,6
[I 220413 10:20:37 main:80] 0,10:20:37,-51.41,-139.876,330.371,67.332,21.836,0.019,0.031,0.014,21.838,34.642,-15.096,8.989,35.418,28.912,1006.69,False,0.0,0.92,0.0,2,2,1,6
[I 220413 10:20:41 main:80] 0,10:20:41,-51.382,-139.554,330.371,67.332,21.83,0.02,0.031,0.014,21.798,34.654,-14.978,8.487,34.511,29.255,1006.719,False,0.0,0.931,0.0,2,2,1,6
[I 220413 10:20:44 main:80] 0,10:20:44,-51.353,-139.232,330.371,67.332,21.774,0.02,0.03,0.014,21.769,34.441,-15.16,9.12,35.489,29.135,1006.728,False,0.0,0.891,0.0,2,2,1,6
